MA0006.1_Ahr::Arnt	MA0854.1_Alx1	MA0634.1_ALX3	MA0853.1_Alx4	MA0007.3_Ar	MA1463.1_ARGFX	MA0151.1_Arid3a	MA0601.1_Arid3b	MA0602.1_Arid5a	MA0004.1_Arnt	MA0259.1_ARNT::HIF1A	MA1464.1_ARNT2	MA0603.1_Arntl	MA0874.1_Arx	MA1100.2_ASCL1	MA1631.1_ASCL1(var.2)	MA0816.1_Ascl2	MA0604.1_Atf1	MA1632.1_ATF2	MA0605.2_ATF3	MA0833.2_ATF4	MA1466.1_ATF6	MA0834.1_ATF7	MA0461.2_Atoh1	MA1467.1_ATOH1(var.2)	MA1468.1_ATOH7	MA1633.1_BACH1	MA0591.1_Bach1::Mafk	MA1101.2_BACH2	MA1470.1_BACH2(var.2)	MA0877.2_BARHL1	MA0635.1_BARHL2	MA0875.1_BARX1	MA1471.1_BARX2	MA1634.1_BATF	MA0462.2_BATF::JUN	MA0835.2_BATF3	MA0463.2_BCL6	MA0731.1_BCL6B	MA0607.1_Bhlha15	MA1472.1_BHLHA15(var.2)	MA0818.1_BHLHE22	MA1635.1_BHLHE22(var.2)	MA0817.1_BHLHE23	MA0464.2_BHLHE40	MA0636.1_BHLHE41	MA0876.1_BSX	MA0878.2_CDX1	MA0465.2_CDX2	MA1473.1_CDX4
62	30	26	12	21	36	63	44	28	11	30	13	15	3	34	14	10	7	5	1	8	4	67	6	4	3	6	4	17	6	105	8	15	10	0	0	10	7	6	5	7	1	3	3	0	6	0	8	4	5
4	2	0	8	3	11	0	1	4	4	3	0	14	0	0	5	8	4	1	3	5	0	3	8	0	1	1	1	52	2	0	16	10	2	5	8	11	7	0	36	5	7	6	14	6	0	3	8	3	0
6	30	5	7	2	37	4	13	0	14	2	10	4	2	2	0	9	6	4	4	2	5	0	2	7	2	4	1	2	0	4	4	7	12	2	2	0	2	1	0	0	0	2	3	2	0	3	12	8	0
4	4	2	8	5	2	2	2	16	6	2	5	2	8	19	5	2	3	1	2	1	10	1	2	1	3	4	8	12	2	2	5	0	0	7	25	0	4	12	9	8	7	14	13	2	9	4	5	5	4
3	2	3	3	5	0	2	15	1	5	15	6	6	0	10	13	2	0	2	0	2	2	4	2	0	16	5	0	4	3	9	22	0	16	0	0	3	4	2	2	4	1	4	0	4	14	7	7	0	5
36	51	12	4	42	6	9	19	1	35	135	5	2	0	1	183	2	59	4	3	0	23	17	33	3	55	67	34	11	0	25	44	10	1	13	2	15	0	5	4	2	6	2	2	6	9	26	36	1	19
5	44	15	0	51	67	36	32	4	28	105	8	205	10	81	37	22	4	101	38	86	0	92	74	205	113	17	126	26	113	16	16	11	31	30	0	8	0	0	46	4	39	93	7	31	106	135	53	30	57
189	55	46	0	20	9	0	5	22	14	57	12	7	0	70	21	9	0	0	2	15	3	17	19	2	10	3	10	10	13	13	14	9	0	4	9	11	14	16	21	0	6	5	42	27	2	5	44	4	11
6	0	0	0	0	0	3	10	0	5	19	3	8	1	21	5	21	12	22	22	48	2	29	130	55	113	46	57	47	259	235	456	547	26	73	195	150	229	14	302	61	231	27	255	172	45	47	51	44	69
43	40	39	56	134	18	6	38	0	0	9	4	29	53	4	4	24	0	0	21	0	0	15	26	8	2	5	14	21	2	3	0	0	3	2	11	5	20	0	0	7	30	11	5	2	3	38	3	6	3
